category,confidence,tier,team,original_text,star_rating,product_category
product_question,0.4587,escalate,Sales,Perfect !!! - i have a K15 and was concerned it wouldnt fit  but it was PERFECT !!!,5,coffee_maker
return_request,0.319,escalate,Returns,WOW im impressed !!!!!! - im excited to see how the coffee comes out  i got 2 mason jars too  so i ordered a 2nd one of ,5,coffee_maker
warranty_claim,0.4016,escalate,Warranty Ops,Good - these are OK  a little tooo big  but they work  i had ordered Melita discs and they were so flimsy  !!,4,coffee_maker
return_request,0.4666,escalate,Returns,horrid - thin and chinsy i could even bother returning it i threw them out  - the second they touched the pot it disinte,1,coffee_maker
return_request,0.3423,escalate,Returns,Five Stars - Good price for coffee filters.,5,coffee_maker
return_request,0.3095,escalate,Returns,"Percolator filter rings - I have a percolator of course, but I also have a single cup/kcup maker that has a round at the",5,coffee_maker
troubleshooting,0.2955,escalate,Tech Support,"percolater filters - Percolator filters, works great and makes dumping the grounds easily, therefore making cleanup easi",5,coffee_maker
product_question,0.3491,escalate,Sales,Ez cup liners - If you have reusable single cup maker and cup these liners are a must have for easy clean up.  Much easi,5,coffee_maker
troubleshooting,0.4286,escalate,Tech Support,single cup reusable - I was a little disappointed that it doesn't quite fit in my single cup maker - I had to really sla,4,coffee_maker
product_question,0.3178,escalate,Sales,kcup liner - These make using your reusable kcup type cup holder a bit easier to clean and therefore maybe you'll want t,5,coffee_maker
product_question,0.4585,escalate,Sales,tall paper single cup filters - purchased these to go in a single cup maker I just purchased that came with an unusual s,5,coffee_maker
product_question,0.3707,escalate,Sales,larger stainless pitcher - I actually purchased this to pour one cup of water into my individual cup coffee maker.  So I,5,coffee_maker
return_request,0.336,escalate,Returns,stainless steel pitcher - I actually purchased this to pour one cup of water into my individual cup coffee maker.  So I ,5,coffee_maker
warranty_claim,0.4634,escalate,Warranty Ops,ez scoop - Worked ok.  Takes a little practice and easily makes a mess if you don't carefully use per directions.  If yo,4,coffee_maker
warranty_claim,0.2832,escalate,Warranty Ops,just ok - These are ok... I am always looking for ways to make my Keurig more cost effective. These disposable filters a,3,coffee_maker
product_question,0.5713,flagged,Sales,"great price - I ordered these after looking into replacements for my coffee maker.  Most are outrageously expensive, so ",5,coffee_maker
return_request,0.395,escalate,Returns,Excellent Quality! - This small stainless steel frothing jug is an excellent quality. It's sturdy. It's the perfect size,5,coffee_maker
return_request,0.3026,escalate,Returns,Works Well - I am very happy to have found these! My husband and I have an Esperta2 machine. I've been happy with the pr,5,coffee_maker
return_request,0.3142,escalate,Returns,As good as any - I will buy these again for sure,5,coffee_maker
return_request,0.3102,escalate,Returns,Great price for Bunn filters - Anyone with a Bunn coffee maker know you need real Bunn filter because they are taller. T,5,coffee_maker
return_request,0.3232,escalate,Returns,Well made and a great price. Much cheaper than the ones at Walmart and just as good. - Have been buying these from Amazo,5,coffee_maker
return_request,0.3283,escalate,Returns,Equivalent to what I got from Keurig but cheaper. - Great purchase as are most of the things I get from Amazon.,5,coffee_maker
troubleshooting,0.3723,escalate,Tech Support,Works great better than Works better than the ones I used to buy the ones I got in stores. - Fits great and is a great v,5,coffee_maker
warranty_claim,0.475,escalate,Warranty Ops,DOES NOT Work! - Does NOT work as described in the video in the listing!.....Coffee goes EVERYWHERE!,1,coffee_maker
